Pop	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	Pop1	mean_diff	iter	m	h2
EAS	0.0281057332908444	2.81140288596585	0.00494219959029249	9998	0.00851035142294059	0.0476795378590233	Pearson's product-moment correlation	two.sided	EAS	-2.45265054251396e-14	22	200	0.67
EUR	0.322368190054776	34.0514537511761	1.48522651012582e-240	9998	0.304693306149151	0.339821121001836	Pearson's product-moment correlation	two.sided	EUR	3.93004031770151e-14	22	200	0.67
AFR	0.260572154372411	26.9868884847328	6.81618065908198e-155	9998	0.242209102562526	0.278748590523081	Pearson's product-moment correlation	two.sided	AFR	3.08836192296907e-16	23	200	0.67
ALL	0.286246107541397	51.7427442627717	0	29998	0.275823599713924	0.296601313366165	Pearson's product-moment correlation	two.sided	ALL	3.6591986629338e-16	23	200	0.67
EAS	0.219237317223889	22.4681543176821	4.15017713629273e-109	9998	0.200498803968651	0.237815478238354	Pearson's product-moment correlation	two.sided	EAS	7.67306136434821e-16	23	200	0.67
EUR	0.560889365790622	67.7424241851307	0	9998	0.547306089318107	0.574177235105674	Pearson's product-moment correlation	two.sided	EUR	2.39044786569387e-17	23	200	0.67
AFR	0.357747287317947	38.3063233251383	1.07654261864801e-299	9998	0.340535005140649	0.374719869605569	Pearson's product-moment correlation	two.sided	AFR	-7.01446669845729e-16	24	200	0.67
ALL	0.367829092594609	68.5108025634284	0	29998	0.358003280969108	0.377573446693233	Pearson's product-moment correlation	two.sided	ALL	9.89054103193709e-16	24	200	0.67
EAS	0.489728682262999	56.1639880341595	0	9998	0.474684978777321	0.504486331018556	Pearson's product-moment correlation	two.sided	EAS	1.95849600100918e-16	24	200	0.67
EUR	0.430019672781756	47.6259828649426	0	9998	0.413908193087981	0.44586183390793	Pearson's product-moment correlation	two.sided	EUR	3.46463790816542e-15	24	200	0.67
AFR	0.0887230958085217	8.9065467880753	6.1809372783675e-19	9998	0.0692434386844449	0.108135121117902	Pearson's product-moment correlation	two.sided	AFR	6.8413452854188e-15	25	200	0.67
ALL	0.100368869019403	17.4720472533988	5.08551643051116e-68	29998	0.0891541873675583	0.111558105015971	Pearson's product-moment correlation	two.sided	ALL	1.11910666128321e-15	25	200	0.67
EAS	0.0801705806233984	8.0421426988626	9.82852069615375e-16	9998	0.0606658378244059	0.0996141220751805	Pearson's product-moment correlation	two.sided	EAS	5.4412845638328e-16	25	200	0.67
EUR	0.141137873981434	14.2550699155612	1.16630836635216e-45	9998	0.121874948136429	0.160294519297633	Pearson's product-moment correlation	two.sided	EUR	-4.22573601324428e-15	25	200	0.67
